Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/pe_te/task3.model', STEP=100, TASK=3, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 60.7209 | (valid) loss 55.8396
[2/100] (train) loss 55.5194 | (valid) loss 53.4384
[3/100] (train) loss 53.2689 | (valid) loss 51.5369
[4/100] (train) loss 50.5543 | (valid) loss 47.4880
[5/100] (train) loss 48.4867 | (valid) loss 46.0581
[6/100] (train) loss 47.4965 | (valid) loss 45.5089
[7/100] (train) loss 46.8266 | (valid) loss 45.1405
[8/100] (train) loss 46.3133 | (valid) loss 44.8062
[9/100] (train) loss 45.8722 | (valid) loss 44.4537
[10/100] (train) loss 45.4368 | (valid) loss 44.0187
[11/100] (train) loss 44.8739 | (valid) loss 43.2845
[12/100] (train) loss 43.7347 | (valid) loss 41.2642
[13/100] (train) loss 40.9555 | (valid) loss 36.8552
[14/100] (train) loss 35.1349 | (valid) loss 29.5675
[15/100] (train) loss 30.3246 | (valid) loss 26.2340
[16/100] (train) loss 27.7094 | (valid) loss 24.4180
[17/100] (train) loss 25.4017 | (valid) loss 22.4237
[18/100] (train) loss 23.2837 | (valid) loss 20.4715
[19/100] (train) loss 21.6002 | (valid) loss 18.9245
[20/100] (train) loss 20.2545 | (valid) loss 17.5950
[21/100] (train) loss 19.1800 | (valid) loss 16.7384
[22/100] (train) loss 18.2900 | (valid) loss 16.4460
[23/100] (train) loss 17.5455 | (valid) loss 15.9341
[24/100] (train) loss 16.8823 | (valid) loss 16.3206
[25/100] (train) loss 16.3520 | (valid) loss 15.9220
[26/100] (train) loss 13.3156 | (valid) loss 12.1027
[27/100] (train) loss 12.5111 | (valid) loss 11.9038
[28/100] (train) loss 12.1156 | (valid) loss 11.7253
[29/100] (train) loss 11.7894 | (valid) loss 11.5618
[30/100] (train) loss 11.4949 | (valid) loss 11.3849
[31/100] (train) loss 11.2319 | (valid) loss 11.1668
[32/100] (train) loss 10.9837 | (valid) loss 10.9247
[33/100] (train) loss 10.7534 | (valid) loss 10.7152
[34/100] (train) loss 10.5297 | (valid) loss 10.5120
[35/100] (train) loss 10.3190 | (valid) loss 10.4066
[36/100] (train) loss 10.1064 | (valid) loss 10.3297
[37/100] (train) loss 9.9200 | (valid) loss 10.1813
[38/100] (train) loss 9.7119 | (valid) loss 10.0762
[39/100] (train) loss 9.5430 | (valid) loss 9.9020
[40/100] (train) loss 9.3803 | (valid) loss 9.8027
[41/100] (train) loss 9.2325 | (valid) loss 9.6434
[42/100] (train) loss 9.0953 | (valid) loss 9.6026
[43/100] (train) loss 8.9301 | (valid) loss 9.4028
[44/100] (train) loss 8.8062 | (valid) loss 9.5048
[45/100] (train) loss 8.6843 | (valid) loss 9.1736
[46/100] (train) loss 8.6173 | (valid) loss 8.9504
[47/100] (train) loss 8.4815 | (valid) loss 8.8763
[48/100] (train) loss 8.2975 | (valid) loss 9.0732
[49/100] (train) loss 8.1392 | (valid) loss 8.4085
[50/100] (train) loss 8.0256 | (valid) loss 8.7140
[51/100] (train) loss 7.0729 | (valid) loss 6.8878
[52/100] (train) loss 6.5665 | (valid) loss 6.6487
[53/100] (train) loss 6.3608 | (valid) loss 6.5169
[54/100] (train) loss 6.2154 | (valid) loss 6.4645
[55/100] (train) loss 6.1000 | (valid) loss 6.3830
[56/100] (train) loss 5.9882 | (valid) loss 6.3452
[57/100] (train) loss 5.9170 | (valid) loss 6.2971
[58/100] (train) loss 5.7995 | (valid) loss 6.2597
[59/100] (train) loss 5.7690 | (valid) loss 6.2169
[60/100] (train) loss 5.6571 | (valid) loss 6.1720
[61/100] (train) loss 5.5902 | (valid) loss 6.1191
[62/100] (train) loss 5.5252 | (valid) loss 6.0672
[63/100] (train) loss 5.4603 | (valid) loss 6.1035
[64/100] (train) loss 5.4216 | (valid) loss 5.9042
[65/100] (train) loss 5.3042 | (valid) loss 6.0401
EARLY BREAK: valid loss goes over the patient number 5

Training Excution time with validation: 0 h 6 m 15.7369 s
