Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/pe_te/task9.model', STEP=100, TASK=9, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 23.3171 | (valid) loss 20.9841
[2/100] (train) loss 21.0606 | (valid) loss 20.6874
[3/100] (train) loss 20.6391 | (valid) loss 20.5197
[4/100] (train) loss 20.3701 | (valid) loss 20.3875
[5/100] (train) loss 20.1511 | (valid) loss 20.2297
[6/100] (train) loss 19.9214 | (valid) loss 19.9720
[7/100] (train) loss 19.5680 | (valid) loss 19.4461
[8/100] (train) loss 18.8844 | (valid) loss 18.3552
[9/100] (train) loss 17.7631 | (valid) loss 16.8784
[10/100] (train) loss 16.5079 | (valid) loss 15.4474
[11/100] (train) loss 15.2272 | (valid) loss 14.1503
[12/100] (train) loss 13.8939 | (valid) loss 13.1803
[13/100] (train) loss 12.2887 | (valid) loss 12.5115
[14/100] (train) loss 10.3769 | (valid) loss 11.0431
[15/100] (train) loss 8.7031 | (valid) loss 9.2135
[16/100] (train) loss 7.3021 | (valid) loss 7.8372
[17/100] (train) loss 6.2157 | (valid) loss 6.1291
[18/100] (train) loss 5.3986 | (valid) loss 4.9235
[19/100] (train) loss 4.7458 | (valid) loss 4.3654
[20/100] (train) loss 4.2945 | (valid) loss 3.6421
[21/100] (train) loss 3.8386 | (valid) loss 3.4226
[22/100] (train) loss 3.5245 | (valid) loss 3.1578
[23/100] (train) loss 3.2483 | (valid) loss 3.1343
[24/100] (train) loss 3.1369 | (valid) loss 3.0457
[25/100] (train) loss 2.9346 | (valid) loss 2.6993
[26/100] (train) loss 2.2052 | (valid) loss 2.0116
[27/100] (train) loss 2.0814 | (valid) loss 1.9094
[28/100] (train) loss 2.0150 | (valid) loss 1.8494
[29/100] (train) loss 1.9620 | (valid) loss 1.8006
[30/100] (train) loss 1.9169 | (valid) loss 1.7568
[31/100] (train) loss 1.8778 | (valid) loss 1.7240
[32/100] (train) loss 1.8403 | (valid) loss 1.6936
[33/100] (train) loss 1.7999 | (valid) loss 1.6625
[34/100] (train) loss 1.7600 | (valid) loss 1.6324
