Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/rnnlike/bow/task18.model', STEP=100, TASK=18, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='rnnlike')
----------------------------------------
[1/100] (train) loss 25.0747 | (valid) loss 23.1580
[2/100] (train) loss 22.9459 | (valid) loss 23.1466
[3/100] (train) loss 22.7118 | (valid) loss 23.0371
[4/100] (train) loss 22.6017 | (valid) loss 22.9323
[5/100] (train) loss 22.5349 | (valid) loss 22.8426
[6/100] (train) loss 22.4886 | (valid) loss 22.7674
[7/100] (train) loss 22.4540 | (valid) loss 22.7045
[8/100] (train) loss 22.4265 | (valid) loss 22.6519
[9/100] (train) loss 22.4034 | (valid) loss 22.6080
[10/100] (train) loss 22.3830 | (valid) loss 22.5714
[11/100] (train) loss 22.3639 | (valid) loss 22.5401
[12/100] (train) loss 22.3453 | (valid) loss 22.5104
[13/100] (train) loss 22.3276 | (valid) loss 22.4801
[14/100] (train) loss 22.3117 | (valid) loss 22.4508
[15/100] (train) loss 22.2974 | (valid) loss 22.4240
[16/100] (train) loss 22.2847 | (valid) loss 22.4000
[17/100] (train) loss 22.2733 | (valid) loss 22.3785
[18/100] (train) loss 22.2633 | (valid) loss 22.3591
[19/100] (train) loss 22.2545 | (valid) loss 22.3416
[20/100] (train) loss 22.2468 | (valid) loss 22.3256
[21/100] (train) loss 22.2399 | (valid) loss 22.3107
[22/100] (train) loss 22.2335 | (valid) loss 22.2966
[23/100] (train) loss 22.2273 | (valid) loss 22.2832
[24/100] (train) loss 22.2211 | (valid) loss 22.2703
[25/100] (train) loss 22.2149 | (valid) loss 22.2580
[26/100] (train) loss 22.1099 | (valid) loss 22.0542
[27/100] (train) loss 22.1084 | (valid) loss 22.0499
[28/100] (train) loss 22.1060 | (valid) loss 22.0455
[29/100] (train) loss 22.1030 | (valid) loss 22.0408
[30/100] (train) loss 22.0993 | (valid) loss 22.0358
[31/100] (train) loss 22.0950 | (valid) loss 22.0303
[32/100] (train) loss 22.0901 | (valid) loss 22.0243
[33/100] (train) loss 22.0847 | (valid) loss 22.0178
[34/100] (train) loss 22.0786 | (valid) loss 22.0105
[35/100] (train) loss 22.0718 | (valid) loss 22.0026
[36/100] (train) loss 22.0643 | (valid) loss 21.9941
[37/100] (train) loss 22.0561 | (valid) loss 21.9850
[38/100] (train) loss 22.0473 | (valid) loss 21.9755
[39/100] (train) loss 22.0380 | (valid) loss 21.9654
[40/100] (train) loss 22.0282 | (valid) loss 21.9547
[41/100] (train) loss 22.0178 | (valid) loss 21.9432
[42/100] (train) loss 22.0068 | (valid) loss 21.9306
[43/100] (train) loss 21.9950 | (valid) loss 21.9168
[44/100] (train) loss 21.9822 | (valid) loss 21.9015
[45/100] (train) loss 21.9680 | (valid) loss 21.8848
[46/100] (train) loss 21.9523 | (valid) loss 21.8670
[47/100] (train) loss 21.9351 | (valid) loss 21.8486
[48/100] (train) loss 21.9166 | (valid) loss 21.8304
[49/100] (train) loss 21.8974 | (valid) loss 21.8133
[50/100] (train) loss 21.8778 | (valid) loss 21.7978
[51/100] (train) loss 21.7669 | (valid) loss 21.6456
[52/100] (train) loss 21.7396 | (valid) loss 21.6290
[53/100] (train) loss 21.7240 | (valid) loss 21.6144
[54/100] (train) loss 21.7091 | (valid) loss 21.5999
[55/100] (train) loss 21.6943 | (valid) loss 21.5850
[56/100] (train) loss 21.6796 | (valid) loss 21.5695
[57/100] (train) loss 21.6649 | (valid) loss 21.5535
[58/100] (train) loss 21.6506 | (valid) loss 21.5376
[59/100] (train) loss 21.6372 | (valid) loss 21.5222
[60/100] (train) loss 21.6248 | (valid) loss 21.5078
[61/100] (train) loss 21.6133 | (valid) loss 21.4942
[62/100] (train) loss 21.6024 | (valid) loss 21.4812
[63/100] (train) loss 21.5919 | (valid) loss 21.4685
[64/100] (train) loss 21.5815 | (valid) loss 21.4558
[65/100] (train) loss 21.5711 | (valid) loss 21.4431
[66/100] (train) loss 21.5609 | (valid) loss 21.4302
[67/100] (train) loss 21.5507 | (valid) loss 21.4171
[68/100] (train) loss 21.5406 | (valid) loss 21.4039
[69/100] (train) loss 21.5307 | (valid) loss 21.3904
[70/100] (train) loss 21.5211 | (valid) loss 21.3768
[71/100] (train) loss 21.5116 | (valid) loss 21.3632
[72/100] (train) loss 21.5024 | (valid) loss 21.3495
[73/100] (train) loss 21.4934 | (valid) loss 21.3358
[74/100] (train) loss 21.4846 | (valid) loss 21.3223
[75/100] (train) loss 21.4758 | (valid) loss 21.3090
[76/100] (train) loss 21.3708 | (valid) loss 21.2423
[77/100] (train) loss 21.3536 | (valid) loss 21.2268
[78/100] (train) loss 21.3448 | (valid) loss 21.2149
[79/100] (train) loss 21.3372 | (valid) loss 21.2042
[80/100] (train) loss 21.3301 | (valid) loss 21.1944
[81/100] (train) loss 21.3233 | (valid) loss 21.1850
[82/100] (train) loss 21.3167 | (valid) loss 21.1761
[83/100] (train) loss 21.3103 | (valid) loss 21.1675
[84/100] (train) loss 21.3039 | (valid) loss 21.1592
[85/100] (train) loss 21.2975 | (valid) loss 21.1511
[86/100] (train) loss 21.2912 | (valid) loss 21.1432
[87/100] (train) loss 21.2848 | (valid) loss 21.1355
[88/100] (train) loss 21.2784 | (valid) loss 21.1279
[89/100] (train) loss 21.2721 | (valid) loss 21.1206
[90/100] (train) loss 21.2657 | (valid) loss 21.1134
[91/100] (train) loss 21.2593 | (valid) loss 21.1063
[92/100] (train) loss 21.2530 | (valid) loss 21.0994
[93/100] (train) loss 21.2468 | (valid) loss 21.0927
[94/100] (train) loss 21.2406 | (valid) loss 21.0862
[95/100] (train) loss 21.2345 | (valid) loss 21.0797
[96/100] (train) loss 21.2284 | (valid) loss 21.0734
[97/100] (train) loss 21.2225 | (valid) loss 21.0672
[98/100] (train) loss 21.2166 | (valid) loss 21.0610
[99/100] (train) loss 21.2108 | (valid) loss 21.0549
[100/100] (train) loss 21.2051 | (valid) loss 21.0487

Training Excution time with validation: 0 h 2 m 31.8778 s
