Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/rnnlike/bow/task6.model', STEP=100, TASK=6, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='rnnlike')
----------------------------------------
[1/100] (train) loss 25.4782 | (valid) loss 22.5086
[2/100] (train) loss 22.7617 | (valid) loss 22.3647
[3/100] (train) loss 22.5781 | (valid) loss 22.3035
[4/100] (train) loss 22.4931 | (valid) loss 22.2657
[5/100] (train) loss 22.4407 | (valid) loss 22.2388
[6/100] (train) loss 22.4039 | (valid) loss 22.2181
[7/100] (train) loss 22.3763 | (valid) loss 22.2015
[8/100] (train) loss 22.3543 | (valid) loss 22.1877
[9/100] (train) loss 22.3363 | (valid) loss 22.1759
[10/100] (train) loss 22.3209 | (valid) loss 22.1656
[11/100] (train) loss 22.3076 | (valid) loss 22.1562
[12/100] (train) loss 22.2955 | (valid) loss 22.1474
[13/100] (train) loss 22.2844 | (valid) loss 22.1387
[14/100] (train) loss 22.2737 | (valid) loss 22.1294
[15/100] (train) loss 22.2628 | (valid) loss 22.1186
[16/100] (train) loss 22.2506 | (valid) loss 22.1040
[17/100] (train) loss 22.2338 | (valid) loss 22.0780
[18/100] (train) loss 22.1974 | (valid) loss 21.9923
[19/100] (train) loss 21.9447 | (valid) loss 21.5404
[20/100] (train) loss 21.2386 | (valid) loss 20.6945
[21/100] (train) loss 20.4092 | (valid) loss 19.2403
[22/100] (train) loss 19.2311 | (valid) loss 18.0972
[23/100] (train) loss 18.0266 | (valid) loss 16.4134
[24/100] (train) loss 15.2388 | (valid) loss 14.6980
[25/100] (train) loss 13.0224 | (valid) loss 14.3526
[26/100] (train) loss 9.9619 | (valid) loss 9.2240
[27/100] (train) loss 9.4946 | (valid) loss 8.9020
[28/100] (train) loss 9.2415 | (valid) loss 8.6567
[29/100] (train) loss 9.0341 | (valid) loss 8.4868
[30/100] (train) loss 8.8549 | (valid) loss 8.3804
[31/100] (train) loss 8.6941 | (valid) loss 8.3630
[32/100] (train) loss 8.5471 | (valid) loss 8.2585
[33/100] (train) loss 8.4155 | (valid) loss 8.1482
[34/100] (train) loss 8.3025 | (valid) loss 8.1311
[35/100] (train) loss 8.1998 | (valid) loss 8.1200
[36/100] (train) loss 8.1008 | (valid) loss 8.1624
[37/100] (train) loss 8.0102 | (valid) loss 8.2012
[38/100] (train) loss 7.9583 | (valid) loss 8.3136
[39/100] (train) loss 7.8914 | (valid) loss 8.3042
[40/100] (train) loss 7.8433 | (valid) loss 8.2561
[41/100] (train) loss 7.7693 | (valid) loss 8.1627
EARLY BREAK: valid loss goes over the patient number 5

Training Excution time with validation: 0 h 1 m 0.4938 s
